interaction_id,customer_id,interaction_date,interaction_time,channel,interaction_type,duration_mins,outcome,agent_id,destination_interest,budget_range,travel_party_size,referral_source,is_converted
INT0002174,CUS00520,2024-09-16,13:30,Email,Enquiry,18,No-action,AGT009,Peru,"£3,000 - £5,000",4,Repeat customer,N
INT0002175,CUS01009,2023-05-15,12:45,Phone,Enquiry,52,No-action,,Bali,"£10,000 - £20,000",1,,N
INT0002176,CUS01625,2023-12-14,17:30,Web,Enquiry,10,Follow-up,AGT018,Tuscany,"£3,000 - £5,000",1,Social media,N
INT0002177,CUS01952,2022-03-28,11:45,Email,Enquiry,17,Follow-up,AGT020,Santorini,"£5,000 - £10,000",6,Repeat customer,N
INT0002178,CUS01148,2023-11-04,12:30,Web,Post-trip,4,No-action,AGT018,Cambodia,"£5,000 - £10,000",6,Google,N
INT0002179,CUS00458,2023-02-07,17:15,Phone,Complaint,52,Converted,,Seychelles,"£10,000 - £20,000",1,Word of mouth,Y
INT0002180,CUS00135,2022-09-15,14:45,Web,Quote,13,Follow-up,AGT010,New Zealand,"£10,000 - £20,000",3,,N
INT0002181,CUS00685,2024-06-17,16:15,WhatsApp,Booking,9,Converted,AGT003,Alaska Cruise,"£3,000 - £5,000",4,Google,Y
INT0002182,CUS00340,2024-03-05,15:45,Web,Quote,12,Follow-up,,Sri Lanka,"£20,000+",4,Social media,N
INT0002183,CUS01987,2024-01-17,15:45,Web,Enquiry,18,Follow-up,AGT006,Safari Tanzania,"£10,000 - £20,000",4,Word of mouth,N
INT0002184,CUS01630,2023-10-12,09:45,Email,Enquiry,5,Follow-up,AGT018,Machu Picchu,"£5,000 - £10,000",3,,N
INT0002185,CUS01806,2024-01-09,14:30,Web,Enquiry,7,No-action,,Iceland,"£5,000 - £10,000",6,Travel agent,N
INT0002186,CUS01961,2023-12-14,12:45,Phone,Enquiry,8,Converted,AGT010,Japan,"£10,000 - £20,000",4,Repeat customer,Y
INT0002187,CUS00724,2022-12-16,10:30,Web,Enquiry,17,No-action,,Galápagos,"£10,000 - £20,000",3,Travel agent,N
INT0002188,CUS01913,2022-12-09,12:15,In-Store,Quote,52,Converted,,Cinque Terre,"£20,000+",6,Social media,Y
INT0002189,CUS01625,2023-05-27,11:00,Web,Booking,17,Converted,AGT001,New Zealand,"£10,000 - £20,000",5,Google,Y
INT0002190,CUS00037,2022-03-04,11:15,Web,Enquiry,14,No-action,AGT017,Norway Fjords,"£10,000 - £20,000",4,Travel agent,N
INT0002191,CUS01135,2022-01-08,09:15,In-Store,Booking,7,Converted,AGT017,Galápagos,"£10,000 - £20,000",2,Word of mouth,Y
INT0002192,CUS00498,2023-05-29,12:00,Web,Quote,12,Follow-up,AGT008,Norway Fjords,"£10,000 - £20,000",4,Google,N
INT0002193,CUS01666,2024-07-24,09:30,Phone,Booking,29,Converted,,Cinque Terre,"£3,000 - £5,000",1,Google,Y
INT0002194,CUS01598,2023-12-19,16:15,Phone,Enquiry,16,Converted,,Rajasthan,"£20,000+",5,,Y
INT0002195,CUS00523,2023-06-27,16:30,Phone,Enquiry,39,Follow-up,AGT016,Santorini,"£20,000+",1,Social media,N
INT0002196,CUS00418,2023-02-15,17:30,Phone,Enquiry,60,Follow-up,,Bali,"£5,000 - £10,000",3,Word of mouth,N
INT0002197,CUS01211,2024-03-02,17:15,Web,Quote,17,Follow-up,AGT004,Rajasthan,"£10,000 - £20,000",6,Travel agent,N
INT0002198,CUS01728,2023-08-27,17:30,Phone,Booking,30,Converted,,Peru,"£5,000 - £10,000",2,Google,Y
INT0002199,CUS00157,2024-04-27,17:30,Email,Complaint,17,Converted,AGT003,Phuket,"£20,000+",6,Repeat customer,Y
INT0002200,CUS00221,2022-11-22,09:00,WhatsApp,Enquiry,14,No-action,,Machu Picchu,"£3,000 - £5,000",5,Word of mouth,N
INT0002201,CUS00172,2022-11-06,09:30,Phone,Quote,7,Follow-up,AGT017,Cambodia,"£10,000 - £20,000",4,Repeat customer,N
INT0002202,CUS01878,2023-09-25,12:15,Email,Quote,2,Follow-up,AGT010,Tuscany,"£3,000 - £5,000",1,Repeat customer,N
INT0002203,CUS00160,2023-11-02,13:30,WhatsApp,Post-trip,17,Follow-up,AGT006,Maldives,"£5,000 - £10,000",5,Social media,N
INT0002204,CUS00055,2024-09-26,11:15,Phone,Enquiry,52,No-action,AGT013,Canada Rockies,"£3,000 - £5,000",4,,N
INT0002205,CUS00018,2022-08-05,15:00,Email,Post-trip,17,Resolved,AGT006,Sri Lanka,"£20,000+",2,Travel agent,N
INT0002206,CUS01527,2023-01-15,16:15,Web,Quote,11,Follow-up,AGT008,Botswana Safari,"£10,000 - £20,000",3,,N
INT0002207,CUS01388,2023-02-18,12:00,Web,Enquiry,2,No-action,,Amalfi Coast,"£5,000 - £10,000",1,Travel agent,N
INT0002208,CUS00537,2023-04-01,12:00,Email,Quote,2,Follow-up,,Australia,"£3,000 - £5,000",6,,N
INT0002209,CUS00359,2024-11-15,11:00,WhatsApp,Enquiry,11,Follow-up,AGT018,Rajasthan,"£3,000 - £5,000",4,Google,N
INT0002210,CUS01888,2022-05-18,09:45,In-Store,Enquiry,42,Follow-up,AGT019,Santorini,"£5,000 - £10,000",5,Social media,N
INT0002211,CUS01024,2022-03-19,09:45,Email,Post-trip,8,Follow-up,AGT005,Vietnam,"£10,000 - £20,000",1,,N
INT0002212,CUS01072,2023-08-22,12:15,WhatsApp,Enquiry,19,Follow-up,AGT020,Bora Bora,"£10,000 - £20,000",6,Word of mouth,N
INT0002213,CUS01390,2022-01-13,12:45,Web,Quote,10,Follow-up,,Vietnam,"£20,000+",5,Travel agent,N
INT0002214,CUS01899,2022-12-23,15:30,Email,Quote,19,Follow-up,,Santorini,"£5,000 - £10,000",4,Travel agent,N
INT0002215,CUS00962,2023-09-26,13:15,In-Store,Enquiry,38,No-action,AGT017,Tuscany,"£3,000 - £5,000",5,Word of mouth,N
INT0002216,CUS00123,2022-03-21,14:45,Phone,Quote,31,Converted,AGT008,Phuket,"£3,000 - £5,000",1,,Y
INT0002217,CUS00798,2024-05-05,11:00,Web,Quote,20,Converted,AGT002,Maldives,"£5,000 - £10,000",1,Travel agent,Y
INT0002218,CUS01099,2022-10-09,11:45,Email,Complaint,17,Converted,,Safari Kenya,"£20,000+",3,Travel agent,Y
INT0002219,CUS01660,2022-11-03,10:30,Phone,Enquiry,35,Converted,AGT007,Tuscany,"£20,000+",6,,Y
INT0002220,CUS00458,2023-01-29,12:00,Web,Post-trip,4,Follow-up,AGT001,Australia,"£3,000 - £5,000",5,Word of mouth,N
INT0002221,CUS00508,2024-03-30,09:45,Email,Enquiry,11,Converted,AGT002,Japan Winter,"£3,000 - £5,000",4,Word of mouth,Y
INT0002222,CUS00648,2022-06-28,11:45,Phone,Quote,36,Converted,AGT011,Alaska Cruise,"£3,000 - £5,000",1,Word of mouth,Y
INT0002223,CUS00037,2023-02-11,11:15,Web,Booking,10,Converted,AGT016,New Zealand,"£5,000 - £10,000",5,Word of mouth,Y
INT0002224,CUS00841,2022-12-31,17:15,In-Store,Post-trip,28,No-action,,Norway Fjords,"£10,000 - £20,000",4,Repeat customer,N
INT0002225,CUS00180,2022-04-21,10:00,Web,Booking,7,Converted,AGT008,Alaska Cruise,"£3,000 - £5,000",1,,Y
INT0002226,CUS00443,2024-06-13,11:45,WhatsApp,Enquiry,11,Follow-up,AGT019,Bali,"£10,000 - £20,000",5,Google,N
INT0002227,CUS00439,2024-06-21,11:00,Phone,Enquiry,26,Follow-up,,Iceland,"£3,000 - £5,000",6,Google,N
INT0002228,CUS01848,2024-02-15,17:00,Email,Booking,19,Converted,,Cambodia,"£20,000+",4,,Y
INT0002229,CUS00856,2024-03-24,10:30,Email,Enquiry,12,Follow-up,AGT015,Australia,"£5,000 - £10,000",3,Word of mouth,N
INT0002230,CUS00747,2023-11-02,16:45,In-Store,Post-trip,32,Resolved,AGT020,Seychelles,"£3,000 - £5,000",6,Word of mouth,N
INT0002231,CUS00398,2023-01-20,17:30,Web,Quote,11,Follow-up,AGT008,Phuket,"£3,000 - £5,000",3,Repeat customer,N
INT0002232,CUS00587,2022-04-16,09:45,Web,Booking,20,Converted,AGT006,Canada Rockies,"£3,000 - £5,000",4,Social media,Y
INT0002233,CUS00330,2023-03-29,12:15,In-Store,Quote,29,Follow-up,AGT009,Alaska Cruise,"£5,000 - £10,000",3,Social media,N
INT0002234,CUS00481,2023-12-24,10:15,Web,Quote,5,Follow-up,AGT007,Galápagos,"£3,000 - £5,000",5,Google,N
INT0002235,CUS00200,2023-01-24,16:00,Phone,Enquiry,24,Follow-up,AGT010,Santorini,"£3,000 - £5,000",3,,N
INT0002236,CUS01491,2024-10-05,14:45,Web,Booking,19,Converted,,Machu Picchu,"£3,000 - £5,000",1,Repeat customer,Y
INT0002237,CUS01984,2024-02-10,12:45,WhatsApp,Quote,5,Converted,AGT003,Botswana Safari,"£10,000 - £20,000",4,Word of mouth,Y
INT0002238,CUS01558,2024-09-30,16:00,Phone,Enquiry,50,No-action,AGT003,Peru,"£10,000 - £20,000",5,Repeat customer,N
INT0002239,CUS00728,2022-01-29,11:45,WhatsApp,Quote,15,No-action,AGT006,Kerala,"£5,000 - £10,000",4,Word of mouth,N
INT0002240,CUS00145,2023-03-26,16:30,Phone,Enquiry,41,No-action,,Maldives,"£10,000 - £20,000",1,Repeat customer,N
INT0002241,CUS00180,2022-12-04,10:30,Email,Complaint,5,Follow-up,,Botswana Safari,"£3,000 - £5,000",1,Travel agent,N
INT0002242,CUS00822,2022-04-28,15:30,Phone,Post-trip,25,Resolved,AGT009,Vietnam,"£3,000 - £5,000",5,Google,N
INT0002243,CUS00505,2022-09-10,12:00,Phone,Enquiry,28,Follow-up,,Alaska Cruise,"£5,000 - £10,000",6,Word of mouth,N
INT0002244,CUS01221,2024-07-31,15:00,Phone,Enquiry,21,Follow-up,,Patagonia,"£3,000 - £5,000",6,Repeat customer,N
INT0002245,CUS01611,2024-10-17,17:00,WhatsApp,Enquiry,14,Follow-up,AGT011,Cambodia,"£3,000 - £5,000",1,Google,N
INT0002246,CUS00801,2022-09-09,11:15,Web,Booking,6,Converted,AGT007,Safari Tanzania,"£3,000 - £5,000",4,,Y
INT0002247,CUS00709,2024-04-08,12:15,Email,Quote,5,Follow-up,,Patagonia,"£10,000 - £20,000",2,Word of mouth,N
INT0002248,CUS01278,2024-03-14,10:30,Web,Enquiry,9,No-action,AGT012,Vietnam,"£10,000 - £20,000",3,Word of mouth,N
INT0002249,CUS01184,2022-01-11,12:00,WhatsApp,Enquiry,7,Follow-up,AGT005,Kerala,"£5,000 - £10,000",1,Social media,N
INT0002250,CUS01336,2024-07-23,10:00,Phone,Post-trip,5,Resolved,,Norway Fjords,"£20,000+",4,,N
INT0002251,CUS00022,2024-03-14,09:00,Web,Enquiry,4,No-action,AGT010,Galápagos,"£10,000 - £20,000",5,,N
INT0002252,CUS00331,2022-10-03,15:00,In-Store,Enquiry,20,Follow-up,,Kerala,"£3,000 - £5,000",4,Social media,N
INT0002253,CUS00047,2023-06-22,10:00,Web,Enquiry,19,Follow-up,AGT002,Japan Winter,"£10,000 - £20,000",4,Social media,N
INT0002254,CUS00754,2023-06-28,10:00,Email,Booking,7,Converted,,Iceland,"£20,000+",1,,Y
INT0002255,CUS00297,2024-10-06,09:15,Phone,Quote,39,Follow-up,AGT011,Galápagos,"£3,000 - £5,000",2,Word of mouth,N
INT0002256,CUS01510,2022-06-05,10:15,Web,Quote,20,Follow-up,,Patagonia,"£10,000 - £20,000",4,Word of mouth,N
INT0002257,CUS01560,2022-09-17,17:30,Web,Quote,3,Follow-up,,Bali,"£10,000 - £20,000",3,Social media,N
INT0002258,CUS00627,2022-05-28,16:30,In-Store,Enquiry,56,Follow-up,AGT002,Svalbard,"£10,000 - £20,000",1,Social media,N
INT0002259,CUS01994,2024-08-06,10:30,In-Store,Quote,23,Converted,AGT017,Bora Bora,"£20,000+",6,Travel agent,Y
INT0002260,CUS01827,2023-06-18,10:15,In-Store,Enquiry,38,No-action,,Alaska Cruise,"£20,000+",2,Travel agent,N
INT0002261,CUS01913,2023-07-05,14:45,Phone,Enquiry,47,Follow-up,AGT010,Japan,"£20,000+",6,,N
INT0002262,CUS01815,2024-06-05,09:30,Phone,Enquiry,9,Follow-up,,Santorini,"£3,000 - £5,000",1,,N
INT0002263,CUS01758,2024-08-08,14:00,In-Store,Enquiry,54,Converted,,Tuscany,"£10,000 - £20,000",5,,Y
INT0002264,CUS00159,2024-11-14,15:15,Web,Booking,16,Converted,,Machu Picchu,"£20,000+",4,Repeat customer,Y
INT0002265,CUS00924,2024-12-23,10:30,Web,Post-trip,9,Resolved,,Safari Kenya,"£20,000+",1,Repeat customer,N
INT0002266,CUS00059,2022-08-06,12:15,Web,Quote,19,Converted,,Japan,"£20,000+",4,Word of mouth,Y
INT0002267,CUS00021,2024-11-12,17:00,Web,Quote,8,No-action,,Australia,"£5,000 - £10,000",4,Word of mouth,N
INT0002268,CUS00486,2024-01-13,16:15,In-Store,Enquiry,44,No-action,,Phuket,"£10,000 - £20,000",6,Repeat customer,N
INT0002269,CUS00073,2022-08-26,12:15,Phone,Quote,42,Follow-up,,Japan Winter,"£10,000 - £20,000",5,Travel agent,N
INT0002270,CUS01437,2024-06-22,16:15,Phone,Enquiry,15,Follow-up,,Cinque Terre,"£5,000 - £10,000",2,,N
INT0002271,CUS01012,2022-05-03,13:00,In-Store,Enquiry,10,Converted,AGT009,Japan,"£5,000 - £10,000",1,Travel agent,Y
INT0002272,CUS01382,2023-07-19,16:00,Email,Enquiry,17,No-action,AGT009,Tuscany,"£20,000+",4,,N
INT0002273,CUS00462,2023-04-29,10:15,Phone,Enquiry,28,No-action,AGT011,Galápagos,"£3,000 - £5,000",2,Repeat customer,N
INT0002274,CUS00305,2024-08-29,11:00,WhatsApp,Quote,19,No-action,AGT020,Rajasthan,"£3,000 - £5,000",2,Google,N
INT0002275,CUS00761,2024-08-14,15:30,Web,Quote,11,Follow-up,,Norway Fjords,"£5,000 - £10,000",4,Travel agent,N
INT0002276,CUS01175,2024-06-12,15:00,Phone,Enquiry,53,No-action,AGT011,Patagonia,"£3,000 - £5,000",2,,N
INT0002277,CUS00055,2023-12-17,17:15,Email,Quote,11,Converted,AGT008,New Zealand,"£20,000+",1,Word of mouth,Y
INT0002278,CUS01598,2023-09-17,16:30,Web,Post-trip,2,Resolved,AGT017,Norway Fjords,"£3,000 - £5,000",6,Google,N
INT0002279,CUS00223,2022-09-09,15:00,Web,Complaint,14,Follow-up,,Vietnam,"£10,000 - £20,000",3,Repeat customer,N
INT0002280,CUS00461,2024-10-31,11:15,Web,Complaint,7,Converted,AGT014,Sri Lanka,"£3,000 - £5,000",3,,Y
INT0002281,CUS01486,2022-12-03,11:00,WhatsApp,Booking,9,Converted,,Iceland,"£3,000 - £5,000",2,,Y
INT0002282,CUS00841,2023-05-01,17:30,Email,Quote,12,No-action,,New Zealand,"£20,000+",6,Google,N
INT0002283,CUS00272,2024-01-17,16:00,Web,Enquiry,8,Follow-up,AGT004,Cambodia,"£20,000+",3,Word of mouth,N
INT0002284,CUS01012,2024-03-31,14:30,Email,Complaint,8,No-action,AGT016,Safari Tanzania,"£3,000 - £5,000",6,Travel agent,N
INT0002285,CUS00216,2024-08-18,16:00,In-Store,Quote,51,Follow-up,,Alaska Cruise,"£20,000+",1,Travel agent,N
INT0002286,CUS01532,2024-11-10,12:45,Web,Booking,14,Converted,AGT006,Australia,"£3,000 - £5,000",1,Word of mouth,Y
INT0002287,CUS01886,2022-05-12,13:45,Email,Booking,16,Converted,AGT011,Tuscany,"£3,000 - £5,000",3,Social media,Y
INT0002288,CUS00432,2024-09-15,10:45,WhatsApp,Booking,8,Converted,AGT009,Svalbard,"£20,000+",2,Google,Y
INT0002289,CUS01144,2023-04-29,10:45,Email,Enquiry,12,No-action,AGT008,Rajasthan,"£3,000 - £5,000",1,,N
INT0002290,CUS01645,2022-12-14,16:30,Email,Post-trip,11,No-action,AGT014,Santorini,"£20,000+",2,Google,N
INT0002291,CUS00958,2023-09-29,11:30,Web,Quote,19,No-action,AGT016,Peru,"£10,000 - £20,000",3,Word of mouth,N
INT0002292,CUS01562,2022-09-25,15:45,Web,Post-trip,11,Resolved,AGT004,Tuscany,"£10,000 - £20,000",6,Social media,N
INT0002293,CUS01844,2024-07-27,13:45,Web,Quote,2,Follow-up,AGT016,Vietnam,"£20,000+",5,Google,N
INT0002294,CUS01873,2024-09-02,17:15,Phone,Enquiry,22,Follow-up,AGT018,Phuket,"£10,000 - £20,000",6,Google,N
INT0002295,CUS01598,2022-08-27,13:00,WhatsApp,Quote,6,Converted,AGT012,Kerala,"£5,000 - £10,000",1,,Y
INT0002296,CUS01077,2022-04-07,12:15,WhatsApp,Enquiry,9,Follow-up,AGT006,Patagonia,"£5,000 - £10,000",6,Repeat customer,N
INT0002297,CUS00364,2023-10-26,17:00,In-Store,Booking,25,Converted,AGT006,Safari Tanzania,"£20,000+",4,Word of mouth,Y
INT0002298,CUS01909,2024-11-10,11:15,In-Store,Quote,54,Follow-up,,Peru,"£10,000 - £20,000",3,Social media,N
INT0002299,CUS00569,2022-09-19,11:30,Phone,Post-trip,42,No-action,AGT005,Safari Tanzania,"£3,000 - £5,000",4,Repeat customer,N
INT0002300,CUS00739,2024-12-17,11:15,Email,Quote,13,No-action,AGT010,Peru,"£3,000 - £5,000",3,Word of mouth,N
INT0002301,CUS01749,2024-09-09,14:45,Web,Post-trip,18,Resolved,AGT008,Patagonia,"£20,000+",3,Word of mouth,N
INT0002302,CUS01194,2024-12-26,10:30,Email,Quote,5,No-action,AGT018,Maldives,"£3,000 - £5,000",3,Travel agent,N
INT0002303,CUS01876,2023-07-06,16:45,Web,Booking,20,Converted,AGT005,Cinque Terre,"£10,000 - £20,000",3,Google,Y
INT0002304,CUS01244,2022-06-27,11:30,Web,Quote,20,No-action,,Canada Rockies,"£10,000 - £20,000",2,Google,N
INT0002305,CUS01248,2022-09-21,14:15,Web,Post-trip,3,Resolved,AGT011,Alaska Cruise,"£3,000 - £5,000",3,,N
INT0002306,CUS01283,2024-06-12,10:45,Web,Enquiry,6,Follow-up,AGT019,Japan Winter,"£5,000 - £10,000",1,Word of mouth,N
INT0002307,CUS01599,2024-03-12,16:45,Phone,Quote,22,No-action,AGT014,Alaska Cruise,"£10,000 - £20,000",4,Repeat customer,N
INT0002308,CUS00596,2023-01-02,15:15,Web,Quote,15,No-action,AGT017,Santorini,"£3,000 - £5,000",5,Travel agent,N
INT0002309,CUS00953,2024-11-29,16:30,Web,Enquiry,14,No-action,AGT001,Santorini,"£20,000+",1,Travel agent,N
INT0002310,CUS00335,2024-08-31,10:00,Email,Enquiry,3,No-action,,Japan Winter,"£10,000 - £20,000",6,Repeat customer,N
INT0002311,CUS00410,2024-01-08,13:15,Email,Enquiry,18,Follow-up,AGT020,Svalbard,"£5,000 - £10,000",3,Repeat customer,N
INT0002312,CUS01438,2022-01-29,14:45,In-Store,Enquiry,8,No-action,AGT020,Safari Tanzania,"£5,000 - £10,000",1,Travel agent,N
INT0002313,CUS00322,2022-09-15,12:45,WhatsApp,Booking,17,Converted,,Patagonia,"£20,000+",4,,Y
INT0002314,CUS00885,2024-10-12,11:30,Phone,Enquiry,45,No-action,AGT005,Phuket,"£10,000 - £20,000",1,Google,N
INT0002315,CUS00550,2022-04-15,12:45,Web,Quote,7,Converted,AGT004,Peru,"£3,000 - £5,000",6,Google,Y
INT0002316,CUS01611,2024-05-27,15:45,WhatsApp,Quote,14,Follow-up,,Phuket,"£20,000+",5,,N
INT0002317,CUS00759,2022-09-24,15:30,Web,Enquiry,8,No-action,,Tuscany,"£5,000 - £10,000",6,Word of mouth,N
INT0002318,CUS00797,2023-04-03,10:45,Phone,Enquiry,51,Follow-up,AGT010,Safari Tanzania,"£5,000 - £10,000",6,Travel agent,N
INT0002319,CUS00522,2023-08-23,11:00,In-Store,Booking,6,Converted,,Amalfi Coast,"£5,000 - £10,000",6,Google,Y
INT0002320,CUS00099,2023-02-12,16:45,Web,Quote,15,Converted,AGT008,Galápagos,"£5,000 - £10,000",4,Word of mouth,Y
INT0002321,CUS01540,2022-04-12,15:45,In-Store,Enquiry,23,Follow-up,AGT019,Phuket,"£5,000 - £10,000",2,Repeat customer,N
INT0002322,CUS00309,2022-02-10,17:30,Email,Quote,17,Converted,,Cambodia,"£10,000 - £20,000",4,Repeat customer,Y
INT0002323,CUS00180,2022-02-18,14:15,WhatsApp,Quote,11,Follow-up,,Tuscany,"£20,000+",1,Google,N
INT0002324,CUS00158,2022-03-16,10:15,Phone,Post-trip,17,Follow-up,AGT003,Safari Kenya,"£10,000 - £20,000",4,Google,N
INT0002325,CUS01682,2022-06-17,16:45,WhatsApp,Booking,17,Converted,AGT009,Rajasthan,"£5,000 - £10,000",4,,Y
INT0002326,CUS01474,2022-03-25,09:15,WhatsApp,Enquiry,14,Follow-up,,Amalfi Coast,"£5,000 - £10,000",4,Social media,N
INT0002327,CUS00906,2022-10-04,13:15,In-Store,Quote,44,Follow-up,,Maldives,"£20,000+",5,,N
INT0002328,CUS01490,2023-08-19,13:00,Email,Quote,9,Converted,AGT012,Phuket,"£5,000 - £10,000",4,Word of mouth,Y
INT0002329,CUS01594,2023-05-06,15:45,Web,Quote,19,Converted,,Bali,"£10,000 - £20,000",4,Travel agent,Y
INT0002330,CUS00661,2022-05-28,09:30,In-Store,Booking,47,Converted,,Seychelles,"£5,000 - £10,000",4,Google,Y
INT0002331,CUS00612,2022-10-14,16:30,Web,Post-trip,17,No-action,AGT011,Safari Kenya,"£5,000 - £10,000",1,Google,N
INT0002332,CUS00388,2023-04-08,12:45,Email,Booking,8,Converted,AGT016,Australia,"£20,000+",2,Social media,Y
INT0002333,CUS01713,2023-04-10,13:45,Email,Enquiry,12,No-action,AGT019,Patagonia,"£10,000 - £20,000",1,Word of mouth,N
INT0002334,CUS01510,2023-08-26,14:15,In-Store,Enquiry,19,Converted,,Seychelles,"£5,000 - £10,000",6,,Y
INT0002335,CUS00863,2023-08-07,17:15,Email,Post-trip,2,Follow-up,AGT006,Japan,"£5,000 - £10,000",2,Google,N
INT0002336,CUS01595,2023-12-04,14:45,Web,Enquiry,4,Converted,,Australia,"£10,000 - £20,000",4,Google,Y
INT0002337,CUS00616,2023-11-24,09:15,Web,Quote,7,Converted,,Amalfi Coast,"£20,000+",3,Google,Y
INT0002338,CUS01991,2022-07-21,10:15,Phone,Quote,5,Converted,AGT018,Vietnam,"£5,000 - £10,000",6,,Y
INT0002339,CUS00433,2022-03-12,14:45,Phone,Enquiry,39,Follow-up,,Tuscany,"£10,000 - £20,000",6,Word of mouth,N
INT0002340,CUS01140,2023-09-14,09:45,Email,Quote,10,Follow-up,AGT004,Rajasthan,"£5,000 - £10,000",2,Repeat customer,N
INT0002341,CUS00134,2023-09-21,17:15,Phone,Quote,37,No-action,AGT016,Seychelles,"£20,000+",6,Travel agent,N
INT0002342,CUS01161,2024-08-01,09:45,Web,Quote,10,Converted,,Patagonia,"£20,000+",3,Travel agent,Y
INT0002343,CUS00829,2024-07-24,09:45,Email,Enquiry,6,No-action,AGT015,Botswana Safari,"£10,000 - £20,000",1,Word of mouth,N
INT0002344,CUS01127,2022-08-18,10:45,Web,Complaint,17,No-action,,Amalfi Coast,"£5,000 - £10,000",5,Travel agent,N
INT0002345,CUS01257,2022-05-21,11:30,Email,Enquiry,3,Follow-up,AGT002,Phuket,"£5,000 - £10,000",6,Google,N
INT0002346,CUS01550,2022-01-23,17:30,Web,Booking,11,Converted,,Bali,"£3,000 - £5,000",6,Repeat customer,Y
INT0002347,CUS01912,2022-07-25,10:30,Web,Complaint,11,Follow-up,AGT011,New Zealand,"£5,000 - £10,000",2,Google,N
INT0002348,CUS01457,2022-12-07,13:30,Web,Quote,20,Follow-up,,Safari Kenya,"£3,000 - £5,000",1,,N
INT0002349,CUS00067,2023-06-27,11:30,Email,Enquiry,19,No-action,AGT013,Phuket,"£5,000 - £10,000",4,Google,N
INT0002350,CUS01592,2022-08-22,10:45,Email,Quote,3,Converted,AGT009,Botswana Safari,"£10,000 - £20,000",1,Word of mouth,Y
INT0002351,CUS01200,2022-08-13,15:45,In-Store,Booking,42,Converted,AGT015,New Zealand,"£5,000 - £10,000",6,Repeat customer,Y
INT0002352,CUS01112,2022-12-01,11:00,Email,Complaint,5,Follow-up,AGT007,Patagonia,"£5,000 - £10,000",5,Repeat customer,N
INT0002353,CUS01583,2022-04-25,11:30,Email,Post-trip,2,Resolved,,Japan Winter,"£10,000 - £20,000",2,Repeat customer,N
INT0002354,CUS01805,2023-03-27,10:00,Email,Quote,14,Converted,AGT002,Norway Fjords,"£10,000 - £20,000",2,Google,Y
INT0002355,CUS00034,2022-03-14,11:30,Web,Complaint,11,Follow-up,,Canada Rockies,"£20,000+",1,Word of mouth,N
INT0002356,CUS00190,2022-02-19,16:30,Web,Booking,17,Converted,,Japan Winter,"£20,000+",1,,Y
INT0002357,CUS00976,2022-01-23,16:45,In-Store,Quote,27,Follow-up,AGT004,Japan Winter,"£20,000+",4,Word of mouth,N
INT0002358,CUS01547,2024-07-12,16:45,Phone,Post-trip,37,Resolved,AGT002,Botswana Safari,"£20,000+",1,,N
INT0002359,CUS00333,2022-01-03,09:45,Email,Booking,18,Converted,,Santorini,"£5,000 - £10,000",2,Travel agent,Y
INT0002360,CUS01625,2022-01-14,17:00,Phone,Complaint,38,Follow-up,AGT001,Rajasthan,"£20,000+",1,Social media,N
INT0002361,CUS00376,2022-11-17,17:00,Web,Enquiry,11,Follow-up,,Galápagos,"£10,000 - £20,000",5,,N
INT0002362,CUS01369,2022-08-07,17:30,Web,Post-trip,16,Follow-up,,Maldives,"£10,000 - £20,000",5,Travel agent,N
INT0002363,CUS00937,2022-09-14,17:00,Phone,Enquiry,54,Follow-up,,Japan Winter,"£3,000 - £5,000",1,,N
INT0002364,CUS01252,2023-02-06,12:00,Phone,Post-trip,29,Resolved,AGT013,Alaska Cruise,"£5,000 - £10,000",2,Google,N
INT0002365,CUS01098,2024-11-17,13:15,Web,Post-trip,19,No-action,AGT003,Vietnam,"£20,000+",2,Social media,N
INT0002366,CUS00458,2023-05-14,15:45,Web,Enquiry,4,Follow-up,AGT006,Maldives,"£5,000 - £10,000",6,Google,N
INT0002367,CUS00176,2022-11-29,13:45,WhatsApp,Quote,19,Follow-up,,Iceland,"£3,000 - £5,000",2,Repeat customer,N
INT0002368,CUS01918,2022-02-21,11:00,Email,Post-trip,13,No-action,AGT008,Norway Fjords,"£5,000 - £10,000",6,Travel agent,N
INT0002369,CUS01421,2023-06-02,11:45,Phone,Enquiry,23,Follow-up,AGT017,Kerala,"£10,000 - £20,000",5,Google,N
INT0002370,CUS01464,2024-12-04,09:15,Phone,Enquiry,38,Follow-up,AGT005,Machu Picchu,"£3,000 - £5,000",3,Social media,N
INT0002371,CUS01894,2022-06-10,17:45,Email,Enquiry,12,No-action,,Kerala,"£3,000 - £5,000",5,,N
INT0002372,CUS00283,2024-01-16,16:30,Phone,Quote,22,Follow-up,AGT006,Safari Kenya,"£20,000+",6,,N
INT0002373,CUS01673,2024-01-14,15:30,Phone,Complaint,51,Follow-up,AGT007,Norway Fjords,"£3,000 - £5,000",1,Word of mouth,N
INT0002374,CUS00375,2023-10-16,09:45,Web,Booking,7,Converted,AGT013,New Zealand,"£3,000 - £5,000",1,Travel agent,Y
INT0002375,CUS01576,2023-01-27,10:30,Email,Quote,17,Follow-up,AGT002,Alaska Cruise,"£3,000 - £5,000",4,,N
INT0002376,CUS00113,2024-04-06,14:00,Phone,Post-trip,20,Resolved,AGT020,Machu Picchu,"£3,000 - £5,000",6,Word of mouth,N
